geo_point_2d,geo_shape,str_from,segpart,statusid,segid,streetname,streetid,schedule,mapstatus,str_to,segdescr
"-37.79708155904838, 144.9465088809808","{""coordinates"": [[[[144.946408235216, -37.796691646146], [144.946735853593, -37.79679422339], [144.946621030743, -37.797440087464], [144.946281104043, -37.797401988834], [144.946408235216, -37.796691646146]]]], ""type"": ""MultiPolygon""}",,,,22516,,,Complete,,,Abbotsford Street between Wood Street and Canning Street
"-37.795919161721685, 144.92825470020227","{""coordinates"": [[[[144.928309284126, -37.79588427246], [144.928513847875, -37.796106822692], [144.928401229493, -37.796174114876], [144.928197835476, -37.795951245289], [144.928179171509, -37.795929883553], [144.927994525578, -37.795727928052], [144.92810477237, -37.795662952896], [144.928289242878, -37.795863916554], [144.928309284126, -37.79588427246]]]], ""type"": ""MultiPolygon""}",,,,21730,,,Years 5 - 7,,,Durham Street between Gower Street and Hampden Road
"-37.797372670553045, 144.9369312164718","{""coordinates"": [[[[144.936970400683, -37.79703314992], [144.936981608848, -37.797119070485], [144.937102554533, -37.797966971976], [144.936945247329, -37.798064246622], [144.936754061786, -37.796721974648], [144.936930688936, -37.796741595672], [144.936970400683, -37.79703314992]]]], ""type"": ""MultiPolygon""}",,,,21310,,,Not determined by precinct plan,,,Langford Street between Gracie Street and Straker Street
"-37.792522344277614, 144.9353480325059","{""coordinates"": [[[[144.935301043336, -37.792158897503], [144.935306198819, -37.792130553117], [144.935355696825, -37.791858409057], [144.935581034809, -37.791883092615], [144.935334826618, -37.793195197343], [144.93511764251, -37.79316722907], [144.935167293583, -37.792894252442], [144.935172387539, -37.792866245829], [144.935301043336, -37.792158897503]]]], ""type"": ""MultiPolygon""}",,,,23101,,,Not determined by precinct plan,,,Stubbs Street between Smith Street and Robertson Street
"-37.791738791592664, 144.93509134870948","{""coordinates"": [[[[144.935355696825, -37.791858409057], [144.934791761512, -37.791798758377], [144.934824223224, -37.791619864057], [144.935392017946, -37.79167834221], [144.935355696825, -37.791858409057]]]], ""type"": ""MultiPolygon""}",,,,23093,,,Years 5 - 7,,,Smith Street between Thompson Street and Stubbs Street
"-37.802177629602866, 144.9512853795951","{""coordinates"": [[[[144.951295905718, -37.803100222078], [144.950953152148, -37.803062404686], [144.95097756905, -37.802923259972], [144.950981567529, -37.802898583263], [144.951010629423, -37.802738075885], [144.951015536427, -37.802702593665], [144.951088829275, -37.802295758886], [144.951104230439, -37.802202871413], [144.951177770629, -37.801807472256], [144.951187132534, -37.801763664966], [144.951278693798, -37.80125198961], [144.951616439864, -37.801285359877], [144.951629354175, -37.801286890318], [144.951614658237, -37.801295623921], [144.951526038811, -37.801806180108], [144.951514731822, -37.80186736521], [144.951380761079, -37.802626749884], [144.951374877817, -37.802658850148], [144.951327441984, -37.802913406389], [144.95132134865, -37.802950969526], [144.951295905718, -37.803100222078]]]], ""type"": ""MultiPolygon""}",,,,21096,,,Years 5 - 7,,,Leveson Street between Queensberry Street and Arden Street
"-37.82403316061722, 144.93302291428114","{""coordinates"": [[[[144.9309570489, -37.82411406347], [144.930974964847, -37.823842515156], [144.934308724064, -37.823938785371], [144.934406245751, -37.823909013963], [144.934546600661, -37.823812972052], [144.934547793854, -37.823749191914], [144.935141898955, -37.824234860423], [144.9309570489, -37.82411406347]]]], ""type"": ""MultiPolygon""}",,,,22134,,,Years 8 - 10,,,Turner Street between Graham Street and Ingles Street
"-37.821869319830824, 144.93176425808701","{""coordinates"": [[[[144.932760392924, -37.821980493416], [144.93262126458, -37.822172795272], [144.931489281322, -37.821934750665], [144.931494900847, -37.821919471822], [144.931389249129, -37.821894995338], [144.931382830511, -37.821912364369], [144.931309281081, -37.821896897603], [144.931316219789, -37.821878031859], [144.931210454621, -37.821853554124], [144.931202752465, -37.821874494458], [144.93087958444, -37.821806533003], [144.930889078079, -37.821586159143], [144.931143855549, -37.821639849178], [144.931165401702, -37.821581560686], [144.931171027303, -37.821582745446], [144.931651736101, -37.821685860027], [144.93163089119, -37.821742482049], [144.932760392924, -37.821980493416]]]], ""type"": ""MultiPolygon""}",,,,22138,,,Years 8 - 10,,,Lorimer Street between Graham Street and Ingles Street
"-37.79837818967184, 144.93712020730595","{""coordinates"": [[[[144.937213275762, -37.798295021215], [144.937269892575, -37.798487263738], [144.937025815826, -37.798461257334], [144.936972346163, -37.798269768243], [144.936974178687, -37.798268683791], [144.937213275762, -37.798295021215]]]], ""type"": ""MultiPolygon""}",,,,21306,,,Not determined by precinct plan,,,Intersection of Langford Street and Green Street
"-37.80977781554356, 144.95266254381121","{""coordinates"": [[[[144.953034564929, -37.810161365061], [144.952710776939, -37.810255701493], [144.952385167091, -37.809615806445], [144.952270552788, -37.809420231051], [144.952641098074, -37.809311333813], [144.953034564929, -37.810161365061]]]], ""type"": ""MultiPolygon""}",,,,21518,,,Years 5 - 7,,,King Street between Batman Street and Dudley Street
